,label
image_4132,1
image_4134,1
image_4135,1
image_4137,1
image_4138,1
image_4140,1
image_4141,1
image_4142,1
image_4146,1
image_4147,1
image_4150,1
image_4153,1
image_4154,1
image_4157,1
image_4160,1
image_4161,1
image_4162,1
image_4165,1
image_4168,0
image_4170,1
image_4171,1
image_4173,1
image_4175,1
image_4176,1
image_4185,1
image_4186,1
image_4189,1
image_4191,1
image_4192,1
image_4193,1
image_4194,0
image_4195,1
image_4198,1
image_4199,1
image_4200,1
image_4202,0
image_4203,1
image_4204,1
image_4205,1
image_4207,1
image_4208,1
image_4210,1
image_4211,1
image_4216,1
image_4218,1
image_4219,1
image_4221,1
image_4225,1
image_4231,0
image_4232,1
image_4233,1
image_4237,0
image_4238,1
image_4240,1
image_4244,0
image_4245,1
image_4248,1
image_4250,0
image_4251,0
image_4252,0
image_4253,1
image_4254,1
image_4256,0
image_4257,1
image_4258,1
image_4259,1
image_4261,0
image_4264,0
image_4265,0
image_4266,1
image_4267,1
image_4273,1
image_4275,1
image_4277,1
image_4278,0
image_4279,1
image_4280,1
image_4281,1
image_4282,1
image_4283,1
image_4287,1
image_4288,0
image_4289,1
image_4291,1
image_4292,1
image_4295,1
image_4296,1
image_4297,1
image_4299,1
image_4300,1
image_4302,1
image_4303,0
image_4307,0
image_4309,1
image_4312,1
image_4313,1
image_4315,1
image_4316,1
image_4317,1
image_4320,1
image_4324,1
image_4331,1
image_4332,1
image_4334,1
image_4335,1
image_4336,1
image_4339,1
image_4342,1
image_4344,1
image_4345,1
image_4346,1
image_4347,0
image_4358,1
image_4359,1
image_4364,1
image_4367,1
image_4368,1
image_4369,1
image_4370,1
image_4371,1
image_4376,0
image_4377,1
image_4378,1
image_4379,0
image_4381,1
image_4384,0
image_4385,1
image_4388,1
image_4391,1
image_4395,0
image_4396,1
image_4397,1
image_4398,1
image_4400,1
image_4401,1
image_4403,1
image_4407,1
image_4415,1
image_4416,1
image_4417,1
image_4419,1
image_4422,0
image_4423,1
image_4424,1
image_4425,1
image_4426,1
image_4427,1
image_4429,0
image_4430,0
image_4431,1
image_4432,1
image_4433,1
image_4436,0
image_4437,1
image_4438,1
image_4439,1
image_4440,1
image_4441,1
image_4444,0
image_4445,0
image_4449,1
image_4451,1
image_4456,0
image_4459,1
image_4461,1
image_4462,1
image_4466,1
image_4467,1
image_4469,1
image_4472,1
image_4473,1
image_4474,1
image_4475,1
image_4477,0
image_4479,1
image_4480,1
image_4481,1
image_4482,1
image_4486,1
image_4490,1
image_4494,0
image_4497,1
image_4498,1
image_4500,1
image_4501,1
image_4502,1
image_4504,1
image_4505,1
image_4506,0
image_4509,0
image_4510,1
image_4515,0
image_4518,1
image_4519,0
image_4522,1
image_4523,1
image_4524,1
image_4527,1
image_4529,0
image_4530,1
image_4534,1
image_4535,1
image_4540,1
image_4541,1
image_4542,1
image_4543,1
image_4549,0
image_4552,1
image_4556,1
image_4557,1
image_4558,0
image_4562,1
image_4563,0
image_4564,1
image_4565,1
image_4568,0
image_4569,0
image_4572,0
image_4573,1
image_4574,1
image_4575,1
image_4576,1
image_4577,1
image_4579,1
image_4580,0
image_4582,0
image_4583,1
image_4584,1
image_4585,1
image_4586,1
image_4587,1
image_4588,0
image_4590,0
image_4591,1
image_4593,0
image_4594,1
image_4596,1
image_4604,1
image_4606,1
image_4607,0
image_4610,0
image_4614,0
image_4616,1
image_4618,1
image_4627,0
image_4629,1
image_4630,1
image_4635,1
image_4638,1
image_4639,0
image_4641,1
image_4643,1
image_4644,1
image_4647,1
image_4650,1
image_4653,1
image_4654,1
image_4655,0
image_4656,0
image_4657,1
image_4658,1
image_4660,1
image_4661,1
image_4663,1
image_4665,1
image_4666,0
image_4667,0
image_4669,1
image_4672,0
image_4676,1
image_4678,0
image_4679,1
image_4680,1
image_4681,0
image_4683,1
image_4684,1
image_4688,0
image_4689,0
image_4690,1
image_4692,0
image_4696,1
image_4698,1
image_4700,1
image_4704,1
image_4708,0
image_4710,1
image_4715,1
image_4716,1
image_4718,1
image_4719,1
image_4721,1
image_4725,1
image_4726,1
image_4730,1
image_4732,1
image_4733,1
image_4734,1
image_4735,1
image_4736,0
image_4739,1
image_4747,1
image_4752,1
image_4753,0
image_4755,0
image_4757,1
image_4758,1
image_4760,1
image_4761,1
image_4765,1
image_4768,1
image_4772,0
image_4774,0
image_4775,1
image_4781,0
image_4788,1
image_4789,1
image_4790,0
image_4791,1
image_4793,1
image_4794,1
image_4796,1
image_4797,1
image_4798,1
image_4800,1
image_4806,1
image_4807,1
image_4810,0
image_4813,1
image_4814,1
image_4816,1
image_4820,1
image_4822,1
image_4823,1
image_4824,1
image_4825,1
image_4827,1
image_4828,0
image_4831,1
image_4834,0
image_4835,1
image_4837,1
image_4838,1
image_4839,1
image_4842,0
image_4846,1
image_4847,1
image_4849,0
image_4851,1
image_4853,0
image_4854,0
image_4859,1
image_4860,0
image_4862,1
image_4864,0
image_4865,0
image_4866,1
image_4868,0
image_4869,1
image_4870,1
image_4871,1
image_4872,1
image_4875,1
image_4883,1
image_4884,0
image_4887,1
image_4889,0
image_4890,1
image_4891,1
image_4894,1
image_4895,1
image_4896,0
image_4897,1
image_4898,1
image_4899,1
image_4901,1
image_4902,0
image_4904,1
image_4905,1
image_4906,0
image_4908,1
image_4910,1
image_4912,1
image_4914,0
image_4917,1
image_4918,1
image_4920,1
image_4921,1
image_4922,1
image_4925,0
image_4927,1
image_4932,0
image_4933,1
image_4934,1
image_4938,1
image_4939,1
image_4940,1
image_4943,1
image_4946,1
image_4947,1
image_4948,0
image_4950,1
image_4951,1
image_4955,0
image_4956,1
image_4957,1
image_4958,1
image_4961,0
image_4963,0
image_4964,0
image_4965,0
image_4967,1
image_4970,0
image_4971,1
image_4973,1
image_4974,1
image_4976,1
image_4978,0
image_4985,1
image_4986,0
image_4987,1
image_4988,1
image_4989,1
image_4991,1
image_4992,1
image_4993,1
image_4995,1
image_4996,1
image_4997,1
image_4998,1
image_4999,0
